"","pop","tree","branch","Diameter","Length","LA","Leaf_num","Wet_mass","partially_rehydrated","notes","Al_As","DW_Leaf","DW_stem","LDMC","LMA","LMF","notes2","burned","pop.newcode","leafsize","ml_ms"
"11","SON","2",2,2.66,4.4,43.157,9,NA,"yes","",7.766241686,0.6928,0.32,NA,0.016053016,0.684044234,"","no","SON",4.79522222222222,2.165
"12","SON","2",3,2.58,4.1,41.722,6,NA,"yes","",7.98084055,0.7344,0.2415,NA,0.017602224,0.752536121,"","no","SON",6.95366666666667,3.04099378881988
"13","SON","1",1,1.93,3.7,41.358,7,NA,"yes","",14.13734441,0.5459,0.1979,NA,0.013199381,0.733933853,"medium buds","no","SON",5.90828571428571,2.75846387064174
"14","SON","1",2,3.23,12.4,71.574,12,NA,"yes","",8.735206408,1.239,0.958,NA,0.017310755,0.563950842,"","no","SON",5.9645,1.29331941544885
"15","SON","1",3,2.54,9.6,58.88,12,NA,"yes","",11.62045934,0.9444,0.4478,NA,0.016039402,0.678350812,"","no","SON",4.90666666666667,2.1089772219741
"16","SRD","403",1,2.9,4.2,71.115,8,NA,"yes","originally labeled 'SNR'",10.76683719,0.8119,0.2722,NA,0.011416719,0.748916152,"moldy","no","SRD",8.889375,2.98273328434974
"17","SRD","403",2,1.33,1.15,29.182,5,NA,"yes","originally labeled 'SNR'",21.00558101,0.2942,0.0279,NA,0.010081557,0.913380938,"","no","SRD",5.8364,10.5448028673835
"18","SRD","403",3,1.79,3.5,48.733,6,NA,"yes","originally labeled 'SNR'",19.3660038,0.6477,0.1254,NA,0.013290789,0.837795887,"moldy","no","SRD",8.12216666666667,5.16507177033493
"19","SRD","409",1,2.77,5.4,62.184,8,NA,"yes","originally labeled 'SNR'",10.31910529,0.8852,0.5104,NA,0.014235173,0.634279163,"","no","SRD",7.773,1.73432601880878
"20","SRD","409",2,2.37,5.3,69.108,7,NA,"yes","originally labeled 'SNR'",15.6658715,0.9616,0.2831,NA,0.013914453,0.772555636,"","no","SRD",9.87257142857143,3.39667961850936
"21","SRD","409",3,1.765,1.78,46.763,4,NA,"yes","originally labeled 'SNR'",19.11330863,0.6158,0.0745,NA,0.013168531,0.892075909,"","no","SRD",11.69075,8.26577181208054
"22","SRD","402",1,1.31,1.36,32.811,4,NA,"yes","originally labeled 'SNR'",24.34444078,0.3452,0.0115,NA,0.010520862,0.967760022,"suspect DW_stem, removed ml_ms","no","SRD",8.20275,NA
"23","SRD","402",2,1.23,1.39,39.071,5,NA,"yes","originally labeled 'SNR'",32.88268191,0.4033,0.037,NA,0.010322234,0.915966387,"","no","SRD",7.8142,10.9
"24","SRD","402",3,1.73,1.57,44.655,6,NA,"yes","originally labeled 'SNR'",18.99769079,0.4978,0.052,NA,0.011147688,0.905420153,"","no","SRD",7.4425,9.57307692307692
"25","SRD","401",1,1.73,3.3,38.002,8,NA,"yes","originally labeled 'SNR'",16.16728799,0.4189,0.105,NA,0.011023104,0.799580073,"moldy","no","SRD",4.75025,3.98952380952381
"26","SRD","401",2,1.81,4.16,39.899,7,NA,"yes","originally labeled 'SNR'",15.50700006,0.4704,0.1919,NA,0.011789769,0.710252152,"","no","SRD",5.69985714285714,2.45127670661803
"27","SRD","401",3,1.97,3.8,34.296,6,NA,"yes","originally labeled 'SNR'",11.25210939,0.3862,0.1616,NA,0.011260788,0.705001825,"","no","SRD",5.716,2.38985148514851
"28","SRD","410",1,1.65,1.01,32.06,5,NA,"yes","originally labeled 'SNR'",14.99403626,0.4844,0.0615,NA,0.01510917,0.887342004,"","no","SRD",6.412,7.87642276422764
"29","SRD","410",2,1.3,1.8,40.441,7,NA,"yes","originally labeled 'SNR'",30.46899354,0.3816,0.0387,NA,0.009435968,0.907922912,"very moldy","no","SRD",5.77728571428572,9.86046511627907
"30","SRD","410",3,1.73,1.9,52.049,7,NA,"yes","originally labeled 'SNR'",22.14333911,0.6384,0.0677,NA,0.012265365,0.904121229,"","no","SRD",7.43557142857143,9.42983751846381
"31","HOP","1",1,2.54,6.2,109.192,10,NA,"yes","",21.54995238,1.5334,0.3475,NA,0.014043153,0.81524802,"","no","HOP",10.9192,4.4126618705036
"32","HOP","1",2,3.18,5.48,114.783,12,NA,"yes","",14.45260917,1.6596,0.4073,NA,0.014458587,0.802941603,"","no","HOP",9.56525,4.07463785907194
"33","HOP","1",3,3.215,6.3,78.82,11,NA,"yes","",9.70951201,1.1514,0.5646,NA,0.014607968,0.670979021,"","no","HOP",7.16545454545455,2.03931987247609
"34","HOP","2",1,2.13,3.33,83.988,9,NA,"yes","",23.57116022,1.3092,0.2549,NA,0.015587941,0.83703088,"big buds","no","HOP",9.332,5.13613181639859
"35","HOP","2",2,2.9,3.6,95.823,7,NA,"yes","",14.50763749,1.5826,0.2325,NA,0.016515868,0.871907884,"","no","HOP",13.689,6.80688172043011
"36","HOP","2",3,2.97,3.8,113.562,10,NA,"yes","",16.39241956,1.9123,0.3524,NA,0.01683926,0.844394401,"medium buds","no","HOP",11.3562,5.42650397275823
"37","HOP","3",1,2.385,4.66,92.972,7,NA,"yes","",20.81125804,1.4221,0.2844,NA,0.015296003,0.8333431,"","no","HOP",13.2817142857143,5.00035161744023
"38","HOP","3",2,2.04,4.73,99.329,9,NA,"yes","",30.3905567,1.3067,0.2039,NA,0.013155272,0.865020522,"","no","HOP",11.0365555555556,6.40853359489946
"39","HOP","3",3,2.5,3.8,85.336,6,NA,"yes","",17.38501989,1.1643,0.1951,NA,0.013643714,0.8564808,"","no","HOP",14.2226666666667,5.96770886724757
"40","HOP","6",1,2.705,7.3,88.627,13,NA,"yes","",15.42248786,1.1549,0.3702,NA,0.013031018,0.757261819,"","no","HOP",6.81746153846154,3.11966504592112
"41","HOP","6",2,2.27,7.5,71.719,10,NA,"yes","",17.72170236,0.9548,0.1822,NA,0.013313069,0.839753738,"","no","HOP",7.1719,5.2403951701427
"42","HOP","6",3,2.13,4.2,41.706,8,NA,"yes","",11.70475316,0.5678,0.2358,NA,0.013614348,0.706570433,"","no","HOP",5.21325,2.40797285835454
"43","HOP","7",1,2.74,12.9,134.377,17,NA,"yes","",22.79012687,1.6067,0.6233,NA,0.011956659,0.720493274,"","no","HOP",7.90452941176471,2.57773142948821
"44","HOP","7",2,1.82,2.34,52.244,7,NA,"yes","",20.08244435,0.627,0.0751,NA,0.012001378,0.89303518,"","no","HOP",7.46342857142857,8.34886817576565
"45","HOP","7",3,1.56,3.66,51.522,7,NA,"yes","",26.95668252,0.5875,0.0806,NA,0.011402896,0.879359377,"","no","HOP",7.36028571428571,7.28908188585608
"46","SMR","1",1,1.88,3.8,29.407,8,NA,"no","",10.59395077,0.531,0.1815,NA,0.018056925,0.745263158,"","yes","SMR",3.675875,2.92561983471074
"47","SMR","1",2,2.1,4.87,35.234,9,NA,"no","",10.17293543,0.7111,0.2473,NA,0.02018221,0.741965776,"","yes","SMR",3.91488888888889,2.87545491306106
"48","SMR","1",3,2.17,4.1,33.99,11,NA,"no","",9.190827693,0.6616,0.1857,NA,0.019464548,0.780833235,"","yes","SMR",3.09,3.56273559504577
"49","SMR","2",1,1.98,4.3,36.324,8,NA,"no","",11.79739753,0.5648,0.1858,NA,0.015548948,0.752464695,"","yes","SMR",4.5405,3.03982777179763
"50","SMR","2",2,2.19,5.2,41.3,10,NA,"no","",10.96439693,0.6353,0.2248,NA,0.015382567,0.738635042,"","yes","SMR",4.13,2.82606761565836
"51","SMR","2",3,2.34,3.8,63.95,11,NA,"no","",14.87071195,1.055,0.1881,NA,0.016497263,0.84868474,"","yes","SMR",5.81363636363636,5.6087187666135
"52","SMR","3",1,1.71,4,25.83,13,NA,"no","",11.24747697,0.3576,0.1137,NA,0.013844367,0.758752387,"","yes","SMR",1.98692307692308,3.14511873350923
