"","pop","tree","branch","Diameter","Length","LA","Leaf_num","Wet_mass","partially_rehydrated","notes","Al_As","DW_Leaf","DW_stem","LDMC","LMA","LMF","notes2","burned","pop.newcode","leafsize","ml_ms"
"140","LYN","4",1,1.71,4,40.771,7,1.24,"no","blotchy",17.75342174,0.6137,0.1778,0.494919355,0.015052366,0.775363234,"","yes","LYN",5.82442857142857,3.45163104611923
"141","LYN","4",2,1.84,4.6,63.704,9,1.986,"no","blotchy",23.95818885,1.0279,0.2038,0.517573011,0.016135564,0.834537631,"","yes","LYN",7.07822222222222,5.04367026496565
"142","LYN","4",3,1.47,1.59,65.123,10,1.851,"no","blotchy",38.37272636,0.8711,0.075,0.470610481,0.013376227,0.920727196,"","yes","LYN",6.5123,11.6146666666667
"143","LYN","5",1,1.84,1.78,52.54,8,1.529,"no","",19.75956364,0.7719,0.1043,0.504839765,0.014691663,0.88096325,"","yes","LYN",6.5675,7.40076701821668
"144","LYN","5",2,1.58,5.4,50.758,8,1.399,"no","",25.88887954,0.7169,0.2842,0.512437455,0.014123882,0.716112276,"","yes","LYN",6.34475,2.52251935256861
"145","LYN","5",3,2.45,3.18,49.6,7,1.265,"no","",10.52137343,0.6546,0.1344,0.517470356,0.013197581,0.829657795,"","yes","LYN",7.08571428571429,4.87053571428571
"146","PWD","543",1,2.37,7.3,43.087,12,1.211,"no","very moldy",9.767254228,0.6453,0.2797,0.5328654,0.014976675,0.697621622,"","yes","PWD",3.59058333333333,2.30711476582052
"147","PWD","543",2,5.52,28,249.533,21,10.222,"no","",10.42732139,4.992,5.612,0.488358443,0.02000537,0.470765749,"","yes","PWD",11.8825238095238,0.88952245188881
"148","PWD","543",3,2.65,7.4,93.324,15,2.746,"no","very moldy",16.92094152,1.5246,0.453,0.555207575,0.016336634,0.770934466,"","yes","PWD",6.2216,3.36556291390728
"149","PWD","544",1,2.46,7.2,102.435,8,2.57,"no","",21.55267027,1.4186,0.5557,0.551984436,0.013848782,0.718533151,"","yes","PWD",12.804375,2.55281626777038
"150","PWD","544",2,2.72,5.2,66.328,7,1.875,"no","possibly young leaves?",11.41516048,0.9428,0.3123,0.502826667,0.014214208,0.751175205,"","yes","PWD",9.47542857142857,3.0188920909382
"151","PWD","544",3,3.795,14.3,209.448,16,6.13,"no","",18.51721139,3.324,1.639,0.542251223,0.015870288,0.669756196,"","yes","PWD",13.0905,2.02806589383771
"152","PWD","546",1,2.76,5.4,74.927,9,2.369,"no","",12.5240014,1.2086,0.4487,0.510173069,0.016130367,0.729258432,"","yes","PWD",8.32522222222222,2.69355917093827
"153","PWD","546",2,2.23,3.8,53.245,6,1.416,"no","dried out before weighed, blotchy",13.63301877,0.786,0.2416,0.555084746,0.014761949,0.764889062,"","yes","PWD",8.87416666666667,3.25331125827815
"154","PWD","546",3,3.15,4.95,87.913,8,2.016,"no","dried out before weighed",11.28119017,1.2056,0.436,0.598015873,0.013713558,0.734405458,"","yes","PWD",10.989125,2.7651376146789
"155","PWD","547",1,2.09,3.3,64.359,5,1.79,"no","blotchy",18.76029411,1.0175,0.1269,0.568435754,0.015809755,0.889112199,"","yes","PWD",12.8718,8.01812450748621
"156","PWD","547",2,2.31,3.9,127.922,8,3.79,"no","blotchy",30.52419422,2.167,0.2762,0.57176781,0.01694001,0.886951539,"","yes","PWD",15.99025,7.84576393917451
"157","PWD","547",3,2.24,7.3,74.96,7,1.983,"no","blotchy",19.02201275,1.2906,0.3583,0.650832073,0.017217182,0.782703621,"n_leaves checks out. lots of schmutz that might make LDMC so high?","yes","PWD",10.7085714285714,3.60200948925481
"158","PWD","10705",1,4.505,24.5,214.859,18,6.868,"no","moldy",13.47990671,3.455,2.2937,0.503057659,0.016080313,0.601005445,"","yes","PWD",11.9366111111111,1.50629986484719
"159","PWD","10705",2,3.16,11.1,64.307,12,2.023,"no","moldy",8.199870841,1.0907,0.8244,0.539149778,0.016960829,0.569526395,"","yes","PWD",5.35891666666667,1.32302280446385
"160","PWD","10705",3,4.01,27.2,268.909,17,8.218,"no","moldy",21.29313069,4.0208,2.3593,0.489267462,0.01495227,0.630209558,"","yes","PWD",15.8181764705882,1.70423430678591
"161","SMT","Q506",1,2.835,4.7,77.572,10,2.321,"yes","",12.28914843,1.245,0.2451,0.536406721,0.016049606,0.835514395,"","yes","SMT",7.7572,5.07955936352509
"162","SMT","Q506",2,1.73,1.74,31.491,6,0.87,"yes","",13.39729662,0.4657,0.0618,0.535287356,0.014788352,0.882843602,"","yes","SMT",5.2485,7.53559870550162
"163","SMT","Q506",3,1.62,2.05,40.428,7,0.993,"no","",19.61440576,0.5299,0.0651,0.533635448,0.013107252,0.890588235,"","yes","SMT",5.77542857142857,8.13978494623656
"164","SMT","Q507",1,1.87,5.1,43.702,9,0.938,"no","",15.91259564,0.4539,0.1055,0.483901919,0.010386252,0.811405077,"","yes","SMT",4.85577777777778,4.30236966824645
"165","SMT","Q507",2,1.865,4.9,45.723,9,1.18,"no","",16.73786161,0.5796,0.1485,0.491186441,0.012676334,0.796044499,"","yes","SMT",5.08033333333333,3.9030303030303
"166","SMT","Q507",3,2.84,10.4,94.808,15,2.308,"no","",14.96687847,1.1632,0.4888,0.503986135,0.012269007,0.704116223,"","yes","SMT",6.32053333333333,2.379705400982
"167","SMT","Q508",1,1.93,1.14,51.847,4,1.378,"no","",17.72278387,0.6713,0.0565,0.487155298,0.012947712,0.922368783,"","yes","SMT",12.96175,11.8814159292035
"168","SMT","Q508",2,1.685,1.53,41.918,4,1.043,"no","",18.79852049,0.524,0.0609,0.502396932,0.012500596,0.895879638,"","yes","SMT",10.4795,8.60426929392447
"169","SMT","Q508",3,2.03,2.08,41.437,4,0.982,"no","",12.80321849,0.5173,0.0926,0.526782077,0.012484012,0.848171831,"","yes","SMT",10.35925,5.58639308855292
"170","SMT","Q511",1,2.675,5,35.549,5,NA,"no","half brown, don't use LDMC",6.325614816,0.4975,0.2594,NA,0.013994768,0.657286299,"","yes","SMT",7.1098,1.91788743253662
"171","SMT","Q511",2,2,3.46,43.685,8,1.245,"no","",13.90577749,0.5346,0.0995,0.42939759,0.01223761,0.843084687,"","yes","SMT",5.460625,5.37286432160804
"172","SMT","Q511",3,3.445,11.9,104.817,15,2.846,"no","3 brown leaves",11.24543346,1.2829,0.8589,0.450773015,0.012239427,0.598982165,"","yes","SMT",6.9878,1.49365467458377
"173","SMT","Q509",1,2.495,6.1,59.784,13,1.406,"no","",12.22832004,0.7131,0.2903,0.507183499,0.011927941,0.710683676,"","yes","SMT",4.59876923076923,2.45642438856355
"174","SMT","Q509",2,2.87,4.5,74.698,10,1.811,"no","",11.54697187,0.9487,0.3431,0.523854224,0.012700474,0.73440161,"","yes","SMT",7.4698,2.76508306616147
"175","SMT","Q509",3,3.12,4,112.311,8,3.091,"no","",14.69048159,1.5652,0.3535,0.506373342,0.013936302,0.815760671,"","yes","SMT",14.038875,4.42772277227723
