"","Site","SiteName","Tree","ParentMat","ParentMatcomb","plant_avail","MD","PD","E.drop","Site.Tree","mAl_As","sdAl_As","seAl_As","medAl_As","maxAl_As","nAl_As","mml_ms","sdml_ms","seml_ms","medml_ms","maxml_ms","mleafsize","sdleafsize","seleafsize","medleafsize","maxleafsize","nleafsize","mLMA","sdLMA","seLMA","medLMA","maxLMA","nLMA","mLDMC","sdLDMC","seLDMC","medLDMC","maxLDMC","nLDMC","mLength","sdLength","seLength","medLength","maxLength","soil_depth","Lat.dd","Lon.dd","cwd","aet","pet","ppt","tmn","tmx","cwd.2018wy","aet.2018wy","pet.2018wy","ppt.2018wy","tmx.2018wy","tmn.2018wy","str.2018wy","pet.2018gs","ppt.2018sp","ppt.2018sm","tmx.2018gs","tc.aet","tc.cwd","tc.cwd_gs","tc.pet","tc.ppt","tc.soil_mean","tc.soil_min","tc.srad","tc.tmax","tc.tmin","tc.vpd_max","tc.vpd_spr","tc.vpd_gs","tc.aet.2018wy","tc.aet.2018ds","tc.aet.2018gs","tc.cwd.2018wy","tc.cwd.2018ds","tc.cwd.2018gs","tc.pet.2018wy","tc.pet.2018ds","tc.pet.2018gs","tc.ppt.2018wy","tc.ppt.2018ds","tc.ppt.2018gs","tc.soil_mean.2018wy","tc.soil_min.2018wy","tc.soil_mean.2018ds","tc.soil_min.2018ds","tc.soil_mean.2018gs","tc.soil_min.2018gs","tc.tmax.2018wy","tc.tmax.2018sp","tc.tmin.2018wy","tc.tmin.2018sp","tc.vpd_max.2018wy","tc.vpd.2018sp","tc.vpd.2018gs","growth5yr","DBH","DBH_2ndstem","Height","PD_heightcor","BAI","growthsup_cm2","perc_maxBAI","Tree_ID","del18O","delD","LMWLSlope","LMWLInt","lc_excess","wydelD","wydel18O","winter_excessD","winter_excess18O"
"1","BLU","BORR","2","sed","sed",0.080599996,-3.8,-3.7,0.0999999999999996,"BLU.2",15.79277832,1.17521639179524,0.83100348,15.79277832,16.6237818,2,2.77165924222366,0.813379263040333,0.575145992572336,2.77165924222366,3.346805234796,8.62058333333333,1.10815417724952,0.783583333333334,8.62058333333333,9.40416666666667,2,0.013141628,0.00115126176365325,0.000814065,0.013141628,0.013955693,2,0.48828269,0.0167504177800767,0.011844334,0.48828269,0.500127024,2,8.3,3.67695526217005,2.6,8.3,10.9,0.649999976,37.3825899990774,-121.732209999564,762.3000114,381.3725057,1144.772517,607.5000091,9.693374783,19.17766667,781.359998703003,389.740002632141,1171.10000610352,356.560000786558,20.3875002066294,10.4158333142598,7817.40002441406,852.500007629395,51.0199993941933,0.00999999977648258,24.4516671498616,459.2,837.5,126.233333333333,1296.5,845.4,62.7166666666667,16.8,196.891666666667,30.8,3,1.9,0.77,1.33666666666667,460.3,244.9,215.4,970.4,156.6,813.8,1430.7,401.5,1029.2,570.1,112.8,457.3,55.525,15.1,67.9833333333333,15.1,43.0666666666667,17.3,32.4,22.1,2,8.60000000000001,1.75,0.62,1.28833333333333,NA,NA,NA,NA,-3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","BLU","BORR","3","sed","sed",0.080599996,-4.2,-4.025,0.175,"BLU.3",13.45659783,0.907885650485137,0.6419721,13.45659783,14.09856993,2,2.4199701841451,0.00842269080044034,0.00595574178082892,2.4199701841451,2.42592592592593,6.405375,2.2551403018992,1.594625,6.405375,8,2,0.0160050615,0.000523172043943959,0.0003699385,0.0160050615,0.016375,2,0.4947891965,0.00471558693639555,0.00333442349999999,0.4947891965,0.49812362,2,7.25,0.0707106781186545,0.0499999999999998,7.25,7.3,0.649999976,37.3825899990774,-121.732209999564,762.3000114,381.3725057,1144.772517,607.5000091,9.693374783,19.17766667,781.359998703003,389.740002632141,1171.10000610352,356.560000786558,20.3875002066294,10.4158333142598,7817.40002441406,852.500007629395,51.0199993941933,0.00999999977648258,24.4516671498616,459.2,837.5,126.233333333333,1296.5,845.4,62.7166666666667,16.8,196.891666666667,30.8,3,1.9,0.77,1.33666666666667,460.3,244.9,215.4,970.4,156.6,813.8,1430.7,401.5,1029.2,570.1,112.8,457.3,55.525,15.1,67.9833333333333,15.1,43.0666666666667,17.3,32.4,22.1,2,8.60000000000001,1.75,0.62,1.28833333333333,NA,NA,NA,NA,-3.925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","BLU","BORR","4","sed","sed",0.080599996,-3.6,-2.65,0.95,"BLU.4",15.29957059,3.17663208692579,2.24621809,15.29957059,17.54578868,2,3.91964126559715,1.17751870556014,0.83263146167558,3.91964126559715,4.75227272727273,14.4575,2.96732309962212,2.09821428571428,14.4575,16.5557142857143,2,0.014496273,8.75341626566446e-05,6.18959999999997e-05,0.014496273,0.014558169,2,0.505809283,0.0176825825075794,0.012503474,0.505809283,0.518312757,2,3.715,1.11015764646288,0.785,3.715,4.5,0.649999976,37.3825899990774,-121.732209999564,762.3000114,381.3725057,1144.772517,607.5000091,9.693374783,19.17766667,781.359998703003,389.740002632141,1171.10000610352,356.560000786558,20.3875002066294,10.4158333142598,7817.40002441406,852.500007629395,51.0199993941933,0.00999999977648258,24.4516671498616,459.2,837.5,126.233333333333,1296.5,845.4,62.7166666666667,16.8,196.891666666667,30.8,3,1.9,0.77,1.33666666666667,460.3,244.9,215.4,970.4,156.6,813.8,1430.7,401.5,1029.2,570.1,112.8,457.3,55.525,15.1,67.9833333333333,15.1,43.0666666666667,17.3,32.4,22.1,2,8.60000000000001,1.75,0.62,1.28833333333333,NA,NA,NA,NA,-2.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","BLU","BORR","516","sed","sed",0.080599996,-3.975,-3.65,0.325,"BLU.516",21.879516175,1.1331173824348,0.801234985000001,21.879516175,22.68075116,2,4.5586371806765,1.01932302999758,0.720770226730905,4.5586371806765,5.27940740740741,16.6292207792208,0.504157951781059,0.356493506493507,16.6292207792208,16.9857142857143,2,0.015453745,0.00066191275837379,0.000468043,0.015453745,0.015921788,2,0.517217423,0.0029662365795452,0.002097446,0.517217423,0.519314869,2,6.385,2.00111219075793,1.415,6.385,7.8,0.649999976,37.3825899990774,-121.732209999564,762.3000114,381.3725057,1144.772517,607.5000091,9.693374783,19.17766667,781.359998703003,389.740002632141,1171.10000610352,356.560000786558,20.3875002066294,10.4158333142598,7817.40002441406,852.500007629395,51.0199993941933,0.00999999977648258,24.4516671498616,459.2,837.5,126.233333333333,1296.5,845.4,62.7166666666667,16.8,196.891666666667,30.8,3,1.9,0.77,1.33666666666667,460.3,244.9,215.4,970.4,156.6,813.8,1430.7,401.5,1029.2,570.1,112.8,457.3,55.525,15.1,67.9833333333333,15.1,43.0666666666667,17.3,32.4,22.1,2,8.60000000000001,1.75,0.62,1.28833333333333,NA,NA,NA,NA,-3.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","BLU","BORR","518","sed","sed",0.080599996,-3.475,-2.5,0.975,"BLU.518",25.057960195,13.5917493661604,9.610818145,25.057960195,34.66877834,2,2.98412456241416,0.829154042877631,0.586300446367014,2.98412456241416,3.57042500878117,12.248126984127,3.14947605123921,2.22701587301587,12.248126984127,14.4751428571429,2,0.0121607975,0.00125885725279894,0.0008901465,0.0121607975,0.013050944,2,0.5057225655,0.00465411248705277,0.0032909545,0.5057225655,0.50901352,2,8.2,0.565685424949238,0.4,8.2,8.6,0.649999976,37.3825899990774,-121.732209999564,762.3000114,381.3725057,1144.772517,607.5000091,9.693374783,19.17766667,781.359998703003,389.740002632141,1171.10000610352,356.560000786558,20.3875002066294,10.4158333142598,7817.40002441406,852.500007629395,51.0199993941933,0.00999999977648258,24.4516671498616,459.2,837.5,126.233333333333,1296.5,845.4,62.7166666666667,16.8,196.891666666667,30.8,3,1.9,0.77,1.33666666666667,460.3,244.9,215.4,970.4,156.6,813.8,1430.7,401.5,1029.2,570.1,112.8,457.3,55.525,15.1,67.9833333333333,15.1,43.0666666666667,17.3,32.4,22.1,2,8.60000000000001,1.75,0.62,1.28833333333333,NA,NA,NA,NA,-2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","BLU","BORR","519","sed","sed",0.080599996,-3.2,-2.45,0.75,"BLU.519",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.649999976,37.3825899990774,-121.732209999564,762.3000114,381.3725057,1144.772517,607.5000091,9.693374783,19.17766667,781.359998703003,389.740002632141,1171.10000610352,356.560000786558,20.3875002066294,10.4158333142598,7817.40002441406,852.500007629395,51.0199993941933,0.00999999977648258,24.4516671498616,459.2,837.5,126.233333333333,1296.5,845.4,62.7166666666667,16.8,196.891666666667,30.8,3,1.9,0.77,1.33666666666667,460.3,244.9,215.4,970.4,156.6,813.8,1430.7,401.5,1029.2,570.1,112.8,457.3,55.525,15.1,67.9833333333333,15.1,43.0666666666667,17.3,32.4,22.1,2,8.60000000000001,1.75,0.62,1.28833333333333,NA,NA,NA,NA,-2.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","CNT","Cantua Creek","23","sed","sed",0.068800012,-3.16666666666667,-2.78333333333333,0.383333333333333,"CNT.23",27.0521315066667,5.92561588386152,3.42115592566177,29.93626757,30.98353935,3,5.61611568042345,2.20652599805975,1.27393837895371,6.41691394658754,7.31042382588774,5.75387037037037,0.194717398365779,0.112420142362386,5.84944444444444,5.88233333333333,3,0.0122010823333333,0.000771646567839405,0.000445510353661331,0.012054929,0.013035354,3,0.578590648,0.00358973045371473,0.0020725318437704,0.578339695,0.58229927,3,2.90333333333333,0.743796567169635,0.429431148277708,2.99,3.6,0.860000014,36.3421719988031,-120.409585000003,1075.092516,226.9725034,1312.76752,258.0375038,8.945145633,23.78479172,1301.63000106811,53.4699997901916,1355.09999847412,182.809996247291,24.2708334128062,9.98666657631595,7759.81994628906,997.899993896484,8.68999981880188,0,30.3783334096273,255.4,1248.2,176.283333333333,1503.7,279.7,20.925,8.5,205.591666666667,36.3,1.5,2.69,1.265,2.02333333333333,156.2,124.1,32.1,1453.2,292.6,1160.6,1609.4,416.7,1192.7,157.4,31.7,125.7,6.79166666666667,4.7,8.2,6.6,5.38333333333333,4.7,38.5,27.7,1,10,3.17,1.05333333333333,2.2,NA,46.9,NA,5.6,-2.72733333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","CNT","Cantua Creek","271","sed","sed",0.068800012,-3.18333333333333,-1.95,1.23333333333333,"CNT.271",20.4067817533333,7.47721484223542,4.31697200195329,17.29015666,28.93816592,3,3.80702755133647,1.06748648601881,0.61631361005925,4.2213785046729,4.60521885521886,5.21077192982456,0.464835625264588,0.268372973375438,5.425625,5.52931578947368,3,0.014879219,0.001269981587637,0.000733224211488092,0.014620915,0.016258496,3,0.570036540333333,0.0132567213651357,0.00765377164873293,0.566601333,0.584672742,3,5.08333333333333,1.9750527419118,1.14029723220649,5.8,6.6,0.860000014,36.3421719988031,-120.409585000003,1075.092516,226.9725034,1312.76752,258.0375038,8.945145633,23.78479172,1301.63000106811,53.4699997901916,1355.09999847412,182.809996247291,24.2708334128062,9.98666657631595,7759.81994628906,997.899993896484,8.68999981880188,0,30.3783334096273,255.4,1248.2,176.283333333333,1503.7,279.7,20.925,8.5,205.591666666667,36.3,1.5,2.69,1.265,2.02333333333333,156.2,124.1,32.1,1453.2,292.6,1160.6,1609.4,416.7,1192.7,157.4,31.7,125.7,6.79166666666667,4.7,8.2,6.6,5.38333333333333,4.7,38.5,27.7,1,10,3.17,1.05333333333333,2.2,3.82,69.8,NA,11.88,-1.8312,83.307736111874,98.6809458658228,0.457763280697223,"CNT-271",-7.51,-75.1,7.20191677346535,-1.22768473048515,-19.7859203007901,-64.7950330320693,-9.10225916952106,-10.3049669679307,1.59225916952106
"9","CNT","Cantua Creek","272","sed","sed",0.068800012,-4.08333333333333,-3.2625,0.820833333333333,"CNT.272",17.74566023,5.94324818475173,3.43133593932717,20.59844024,21.72467804,3,2.13364620630186,0.456981742179895,0.263838531862306,2.12002110261145,2.59728813559322,3.31888528138528,0.949600432307991,0.548252065215604,3.2355,4.30742857142857,3,0.012778065,0.000399217042783747,0.000230488067116283,0.012705625,0.013208542,3,0.572905997333333,0.011196873890297,0.00646451815464526,0.569242199,0.585475793,3,8.7,2.72213151776324,1.57162336455017,8.3,11.6,0.860000014,36.3421719988031,-120.409585000003,1075.092516,226.9725034,1312.76752,258.0375038,8.945145633,23.78479172,1301.63000106811,53.4699997901916,1355.09999847412,182.809996247291,24.2708334128062,9.98666657631595,7759.81994628906,997.899993896484,8.68999981880188,0,30.3783334096273,255.4,1248.2,176.283333333333,1503.7,279.7,20.925,8.5,205.591666666667,36.3,1.5,2.69,1.265,2.02333333333333,156.2,124.1,32.1,1453.2,292.6,1160.6,1609.4,416.7,1192.7,157.4,31.7,125.7,6.79166666666667,4.7,8.2,6.6,5.38333333333333,4.7,38.5,27.7,1,10,3.17,1.05333333333333,2.2,11.69,48.2,NA,8,-3.1825,172.722373342358,-40.6218751971858,1.30750735816715,"CNT-272",-7.49,-74.2,7.20191677346535,-1.22768473048515,-19.0299586362594,-64.7950330320693,-9.10225916952106,-9.40496696793073,1.61225916952106
"10","CNT","Cantua Creek","273","sed","sed",0.068800012,-3.51666666666667,-2.53333333333333,0.983333333333333,"CNT.273",24.2870727933333,9.07055673646389,5.2368883734972,19.71012158,34.73420256,3,5.27085343819512,1.32161947748211,0.763037361090551,5.80561259411362,6.2412955465587,5.63266593406593,1.29094684336055,0.74532850752371,5.8948,6.77242857142857,3,0.0154651426666667,0.000966517446423154,0.000558019107868878,0.015747273,0.016259202,3,0.567799442333333,0.0198992545706556,0.0114888399830409,0.57055336,0.5861783,3,3.26666666666667,1.36137185711081,0.785988408170106,2.8,4.8,0.860000014,36.3421719988031,-120.409585000003,1075.092516,226.9725034,1312.76752,258.0375038,8.945145633,23.78479172,1301.63000106811,53.4699997901916,1355.09999847412,182.809996247291,24.2708334128062,9.98666657631595,7759.81994628906,997.899993896484,8.68999981880188,0,30.3783334096273,255.4,1248.2,176.283333333333,1503.7,279.7,20.925,8.5,205.591666666667,36.3,1.5,2.69,1.265,2.02333333333333,156.2,124.1,32.1,1453.2,292.6,1160.6,1609.4,416.7,1192.7,157.4,31.7,125.7,6.79166666666667,4.7,8.2,6.6,5.38333333333333,4.7,38.5,27.7,1,10,3.17,1.05333333333333,2.2,3.13,54,NA,3.52,-2.49813333333333,52.7914203402947,92.7049790191661,0.362836610202766,"CNT-273",-7.42,-78.8,7.20191677346535,-1.22768473048515,-24.134092810402,-64.7950330320693,-9.10225916952106,-14.0049669679307,1.68225916952106
