time,Site,Tree,mAl_As,psis,al_without sapwood correction,Ca,T1,T2,T3,D1,D2,D3,al_true,al_low
40,SMD,5,17.15467432,-1.564833333,121.2592473,408,22.77388573,26.73744583,29.7327652,1639.026245,2585.83667,3353.293213,75,37.5
41,SMR,1,9.985904631,-2.674266667,70.58620041,408,23.63469505,27.37236595,30.24666214,1806.930054,2733.150879,3460.251465,44,22
42,SMR,2,12.5441688,-2.620066667,88.66950426,408,23.63469505,27.37236595,30.24666214,1806.930054,2733.150879,3460.251465,55,27.5
43,SMR,3,17.72255312,-2.588833333,125.273346,408,23.63469505,27.37236595,30.24666214,1806.930054,2733.150879,3460.251465,78,39
44,SMR,4,14.60816037,-3.0759,103.259001,408,23.63469505,27.37236595,30.24666214,1806.930054,2733.150879,3460.251465,64,32
45,SMR,5,12.55236949,-2.9971,88.72747149,408,23.63469505,27.37236595,30.24666214,1806.930054,2733.150879,3460.251465,55,27.5
46,SMT,Q506,15.1002836,-2.117697319,106.7376151,408,26.82810974,29.11894989,35.30857086,2862.061035,3724.608887,5067.453613,67,33.5
47,SMT,Q507,15.87244524,-2.295310006,112.1957041,408,26.82810974,29.11894989,35.30857086,2862.061035,3724.608887,5067.453613,70,35
48,SMT,Q508,16.44150762,-2.13424,116.218169,408,26.82810974,29.11894989,35.30857086,2862.061035,3724.608887,5067.453613,72,36
49,SMT,Q509,12.8219245,-2.751743903,90.63284358,408,26.82810974,29.11894989,35.30857086,2862.061035,3724.608887,5067.453613,57,28.5
50,SON,1,11.49767005,-2.722933333,81.27224048,408,28.01904869,33.17982864,36.94319534,3038.022949,4517.285645,5648.145996,50,25
51,SON,2,7.774871864,-2.823516667,54.95733074,408,28.01904869,33.17982864,36.94319534,3038.022949,4517.285645,5648.145996,34,17
52,SON,3,16.30860103,-2.5477,115.2787077,408,28.01904869,33.17982864,36.94319534,3038.022949,4517.285645,5648.145996,72,36
53,SON,4,7.570735764,-3.523873333,53.51437768,408,28.01904869,33.17982864,36.94319534,3038.022949,4517.285645,5648.145996,34,17
54,SRD,401,14.30879915,-1.282916667,101.1429411,408,25.86863708,30.09930992,34.32849121,2657.765137,3845.367188,4792.395508,63,31.5
55,SRD,402,25.40827116,-2.9475,179.6004855,408,25.86863708,30.09930992,34.32849121,2657.765137,3845.367188,4792.395508,112,56
56,SRD,403,17.04614067,-1.944666667,120.4920682,408,25.86863708,30.09930992,34.32849121,2657.765137,3845.367188,4792.395508,75,37.5
57,SRD,409,15.03276181,-2.56,106.2603316,408,25.86863708,30.09930992,34.32849121,2657.765137,3845.367188,4792.395508,66,33
58,SRD,410,22.5354563,-3.6132,159.2937539,408,25.86863708,30.09930992,34.32849121,2657.765137,3845.367188,4792.395508,99,49.5
